arm,true_grammar,impostor_id,surface_seed,frac,rotation_deg,degradation,degradation_param,wb_gain_bgr,boundaries_spanned,top_sheet,top_aggregate,verdict_001,aggregate_001,coverage_001,renormalised_001,verdict_002,aggregate_002,coverage_002,renormalised_002,ink002_agreement,ink002_agr_absolute,ink002_agr_relationship,ink002_gain_b,ink002_gain_g,ink002_gain_r,ink002_implied_b,ink002_implied_g,ink002_implied_r,ink002_gain_in_bounds,ink002_relationship_applicable,ink002_n_inks,ink002_n_clipped,ink002_rank_corr
surface_001,bar-cascade-001,,1,0.1,0.0,none,,,1,bar-cascade-001,0.2875,not_recognised,0.2875,1.0,0.2875,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,1,0.1,0.0,none,,,1,bar-cascade-001,0.4254,candidate,0.4254,1.0,0.4254,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,1,0.1,0.0,none,,,1,bar-cascade-001,0.3223,not_recognised,0.3223,1.0,0.3223,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,1,0.1,0.0,none,,,1,bar-cascade-001,0.4082,candidate,0.4082,1.0,0.4082,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,2,0.1,0.0,none,,,1,bar-cascade-001,0.5196,candidate,0.5196,1.0,0.5196,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,3,0,-0.6667
surface_001,bar-cascade-001,,2,0.1,0.0,none,,,1,bar-cascade-001,0.2478,not_recognised,0.2478,0.4,0.6194,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,3,0,-0.6667
surface_001,bar-cascade-001,,2,0.1,0.0,none,,,2,bar-cascade-001,0.3525,not_recognised,0.3525,1.0,0.3525,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,2,0.1,0.0,none,,,1,bar-cascade-001,0.447,candidate,0.447,1.0,0.447,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,2,0.1,0.0,none,,,1,bar-cascade-001,0.3218,not_recognised,0.3218,1.0,0.3218,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,2,0.1,0.0,none,,,2,bar-cascade-001,0.3777,not_recognised,0.3777,1.0,0.3777,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,2,0.1,0.0,none,,,2,bar-cascade-001,0.4933,candidate,0.4933,1.0,0.4933,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,2,0.1,0.0,none,,,1,bar-cascade-001,0.2873,not_recognised,0.2873,1.0,0.2873,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
